"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.47714446302325,0.965,0.119,0,"0","Adcy3"
0,3.17475099612318,0.953,0.115,0,"0","Umodl1"
0,3.05517569642946,0.971,0.136,0,"0","Clgn"
0,3.38844011477287,0.978,0.144,0,"0","1700012B09Rik"
0,3.28748343854935,0.95,0.121,0,"0","Ctxn3"
0,3.248216182736,0.955,0.127,0,"0","Ric8b"
0,3.42181214480759,0.946,0.12,0,"0","Acbd7"
0,3.42492584171231,0.933,0.11,0,"0","Nrn1l"
0,3.68538840101878,0.92,0.098,0,"0","Faim2"
0,3.41798549815041,0.933,0.112,0,"0","Cnga2"
0,3.08331819670285,0.953,0.134,0,"0","Syt1"
0,3.25723435335795,0.948,0.13,0,"0","Jakmip1"
0,2.94821251865314,0.951,0.135,0,"0","Cntn4"
0,3.18472702380591,0.938,0.125,0,"0","Spef2"
0,3.34803261634615,0.956,0.146,0,"0","Dcdc2a"
0,3.06528316800185,0.983,0.175,0,"0","Plekhb1"
0,3.19531842552364,0.941,0.133,0,"0","Pcolce2"
0,2.86770598810754,0.961,0.156,0,"0","Flrt1"
0,3.23762161793136,0.918,0.114,0,"0","Tmem74bos"
0,2.89650029321678,0.982,0.187,0,"0","Scn9a"
0,2.90067340052045,0.989,0.196,0,"0","Aplp1"
0,2.47161200291206,0.952,0.164,0,"0","Elavl3"
0,3.10408016869197,0.92,0.142,0,"0","Tspan7"
0,3.07510650725348,0.896,0.12,0,"0","Fgf12"
0,3.187519986547,0.911,0.138,0,"0","Tom1"
0,2.35387974044201,0.935,0.162,0,"0","Ebf2"
0,2.3783297831056,0.948,0.175,0,"0","Uchl1"
0,3.12995988560949,0.904,0.134,0,"0","Ak1"
0,3.01877556406545,0.9,0.13,0,"0","Cfap69"
0,2.86663768291294,0.903,0.15,0,"0","Tspyl4"
0,3.3909645829936,0.852,0.101,0,"0","Fam81b"
0,2.68118114107821,0.949,0.201,0,"0","Igsf8"
0,3.22540385578487,0.846,0.099,0,"0","Kcnc4"
0,3.07871477983866,0.878,0.131,0,"0","Pde4a"
0,3.09015495951377,0.996,0.253,0,"0","Stom"
0,3.07971912204629,0.857,0.115,0,"0","Gramd1c"
0,2.90449275976492,0.881,0.142,0,"0","Trnp1"
0,3.0862221743214,0.853,0.117,0,"0","Snap25"
0,2.3325952483128,0.878,0.143,0,"0","Stmn3"
0,2.80850311615373,0.991,0.258,0,"0","Ttll7"
0,2.47429559086757,0.9,0.169,0,"0","Syt11"
0,2.98064428570618,0.844,0.114,0,"0","Acsl6"
0,2.53806401482189,0.925,0.195,0,"0","Nrxn1"
0,2.59979007851603,0.919,0.19,0,"0","Rufy3"
0,3.04780186832764,0.85,0.123,0,"0","Oscp1"
0,2.90628667442216,0.855,0.13,0,"0","Manea"
0,2.99125049019165,0.849,0.124,0,"0","Lrriq1"
0,2.84998960509462,0.907,0.183,0,"0","Pde6d"
0,2.15514152068774,0.906,0.183,0,"0","Tesc"
0,3.52683857049856,0.809,0.086,0,"0","Cnga4"
