"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arl6ip5",1.76606136222376e-70,1.26821819306312,1,1,4.43793559713207e-66
"Dgkz",4.46579669828964e-25,0.820087183271767,1,1,1.1222100523132e-20
"Gm4070",2.34687432591448e-22,1.06445539073771,1,1,5.89746049359049e-18
"Rnf10",5.05558959677111e-20,0.818676625212307,1,1,1.27041910977261e-15
"LTO1",6.41663484953819e-15,0.69383669017422,1,1,1.61243617134045e-10
"Serinc3",3.90511853811318e-13,-0.351210034489799,1,1,9.81317237442461e-09
"Gm15655",5.72741722640481e-13,0.720292292517819,1,1,1.43924267482326e-08
"Ifi213",9.79329861734491e-13,1.97562345477797,1,1,2.4609580095526e-08
"Trim47",1.21039494016869e-12,-0.432247542438744,1,1,3.04160144514989e-08
"Tspan4",1.66793711654789e-12,-0.575096680186878,1,1,4.19135918017319e-08
"Oas1g",3.57948661570586e-12,0.974380147123224,1,1,8.99489191660726e-08
"Slfn9",4.57303379980343e-12,1.346524968049,1,1,1.1491576635526e-07
"Ifi214",5.94116702685189e-12,1.38465933638469,1,1,1.49295586217761e-07
"Sox18",7.58878047950571e-12,-1.43682937900524,1,1,1.90698464669499e-07
"Plekho1",1.23940170258202e-11,0.742316032928225,1,1,3.11449253841837e-07
"Ppa1",1.38952243382692e-11,1.21191029184349,1,1,3.49173092396367e-07
"Cavin3",2.10795607129834e-11,-0.623202979618021,1,1,5.29708281156559e-07
"Gm42418",2.65597057502856e-11,1.2264843167402,1,1,6.67418845798926e-07
"A930037H05Rik",5.10829156717691e-11,0.853288971271899,1,1,1.28366258791589e-06
"Esam",1.21821022868637e-10,-0.763986608842145,1,1,3.06124048366597e-06
"Ost4",1.28857405902376e-10,-0.689462011424217,1,1,3.23805775292081e-06
"Hprt",2.63194388718945e-10,-0.33918676063172,1,1,6.61381179411838e-06
"Trim34a",2.73546723077461e-10,0.954805732782309,1,1,6.87395560421353e-06
"Tsc22d3",3.00690043266618e-10,-0.695657520168114,1,1,7.55604009724683e-06
"Ctsl",5.00630271885763e-10,-0.494180126733013,1,1,1.25803381022173e-05
