"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140236","translation at presynapse",47,-0.837951404961898,-2.87818305602736,1e-10,1.69388888888889e-08,1.4672514619883e-08,1540,"tags=85%, list=8%, signal=78%","66480/20103/67186/67671/27176/67891/270106/19988/22121/20088/67115/67097/19942/20005/19989/110954/20044/26451/20042/319195/19944/100503670/19896/20055/57294/68436/78294/54127/67281/19941/19943/19981/27370/27207/19982/19951/65019/19934/267019/57808"
"GO:0140241","translation at synapse",48,-0.83908100946145,-2.84785873816054,1e-10,1.69388888888889e-08,1.4672514619883e-08,1540,"tags=85%, list=8%, signal=79%","66480/20103/67186/13629/67671/27176/67891/270106/19988/22121/20088/67115/67097/19942/20005/19989/110954/20044/26451/20042/319195/19944/100503670/19896/20055/57294/68436/78294/54127/67281/19941/19943/19981/27370/27207/19982/19951/65019/19934/267019/57808"
"GO:0140242","translation at postsynapse",48,-0.83908100946145,-2.84785873816054,1e-10,1.69388888888889e-08,1.4672514619883e-08,1540,"tags=85%, list=8%, signal=79%","66480/20103/67186/13629/67671/27176/67891/270106/19988/22121/20088/67115/67097/19942/20005/19989/110954/20044/26451/20042/319195/19944/100503670/19896/20055/57294/68436/78294/54127/67281/19941/19943/19981/27370/27207/19982/19951/65019/19934/267019/57808"
"GO:0035456","response to interferon-beta",72,0.881483086442345,2.27940650543189,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=58%, list=5%, signal=56%","15959/226695/15957/381308/623121/236312/102639543/14469/15951/100033459/327959/16365/545384/15953/246730/20846/432555/100702/16145/55932/23960/229900/15950/100040462/15944/100039796/226691/54396/21822/69550/14468/240328/66141/667214/71701/620913/383619/56489/114643/216150/68713/15977"
"GO:0035458","cellular response to interferon-beta",62,0.883111489429808,2.2490328498484,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=60%, list=5%, signal=57%","15959/226695/15957/381308/623121/236312/102639543/14469/15951/100033459/16365/545384/15953/246730/20846/432555/100702/16145/55932/23960/229900/15950/100040462/15944/100039796/226691/54396/21822/14468/240328/667214/71701/620913/383619/114643/216150/15977"
"GO:0048525","negative regulation of viral process",73,0.842161865760208,2.17673196292929,1e-10,1.69388888888889e-08,1.4672514619883e-08,1030,"tags=44%, list=5%, signal=42%","100038882/57444/58185/231655/20304/15957/246727/71586/23962/246730/20846/19106/98999/246728/23960/56417/20684/226691/114564/69550/20821/74735/20568/107373/66141/80287/114643/80750/68713/15977/78781/28036"
"GO:0045071","negative regulation of viral genome replication",48,0.87224250450829,2.14899310085839,1e-10,1.69388888888889e-08,1.4672514619883e-08,966,"tags=52%, list=5%, signal=50%","100038882/57444/58185/231655/20304/246727/71586/23962/246730/19106/98999/246728/23960/56417/226691/69550/20568/107373/66141/80287/114643/80750/68713/15977/78781"
"GO:0140888","interferon-mediated signaling pathway",94,0.805650790633395,2.13194647798141,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=37%, list=5%, signal=36%","100038882/54123/231655/58203/24110/246727/71586/23962/547253/20847/246730/20846/246728/16145/23960/56045/16452/80285/15944/56417/54396/17874/338467/434341/66141/11846/12265/54721/56489/56480/114643/384309/26987/68713/15977"
"GO:0034340","response to type I interferon",80,0.809269205028136,2.10859327625276,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=36%, list=5%, signal=35%","100038882/54123/231655/58203/24110/246727/71586/23962/20847/246730/20846/246728/23960/56045/56417/20684/17874/338467/434341/114564/66141/54721/56489/56480/114643/384309/26987/68713/15977"
"GO:0060337","type I interferon-mediated signaling pathway",73,0.815242026309164,2.10715237573542,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=37%, list=5%, signal=35%","100038882/54123/231655/58203/24110/246727/71586/23962/20847/246730/20846/246728/23960/56045/56417/17874/338467/434341/66141/54721/56489/56480/114643/384309/26987/68713/15977"
"GO:0071357","cellular response to type I interferon",73,0.815242026309164,2.10715237573542,1e-10,1.69388888888889e-08,1.4672514619883e-08,856,"tags=37%, list=5%, signal=35%","100038882/54123/231655/58203/24110/246727/71586/23962/20847/246730/20846/246728/23960/56045/56417/17874/338467/434341/66141/54721/56489/56480/114643/384309/26987/68713/15977"
