"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","26/57","351/25730",0.0740740740740741,33.4372969460689,28.8317851386309,1.05179029522202e-33,6.92078014256091e-31,4.76073502047863e-31,"Slfn9/Slfn8/Ifit2/Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Usp18/Irf7/Oasl2/Ifit3/Ifit1/Oasl1/Isg20/Stat2/Ifit3b/Ifit1bl1/Zbp1/Dhx58/Stat1/Trim30a/Isg15/Nt5c3/Oas1a",26
"GO:0009615","response to virus","27/57","443/25730",0.0609480812641084,27.5121777355352,26.5221778089184,9.28717037923292e-33,3.05547905476763e-30,2.10183329635271e-30,"Slfn9/Slfn8/Ifit2/Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Usp18/Irf7/Oasl2/Ifit3/Ifit1/Oasl1/Isg20/Stat2/Ifit3b/Ifit1bl1/Zbp1/Ifi27l2a/Dhx58/Stat1/Trim30a/Isg15/Nt5c3/Oas1a",27
"GO:0035456","response to interferon-beta","13/57","80/25730",0.1625,73.3530701754386,30.5399867330856,1.99955937332275e-21,4.38570022548789e-19,3.01687905448695e-19,"Ifi213/Ifi214/Ifi211/Gm5431/Ifit3/Ifit1/Ifi206/Ifi209/Xaf1/Stat1/Oas1a/Ifi208/Ifi205",13
"GO:0050792","regulation of viral process","15/57","158/25730",0.0949367088607595,42.854763491006,24.8657554834124,5.96146677708674e-21,8.449644451025e-19,5.81242539424212e-19,"Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Oasl2/Ifit1/Oasl1/Trim30b/Isg20/Stat1/Trim30a/Isg15/Oas1a",15
"GO:0140374","antiviral innate immune response","13/57","87/25730",0.149425287356322,67.4510990118976,29.2541813314908,6.42070247038373e-21,8.449644451025e-19,5.81242539424212e-19,"Ifit2/Oas3/Ifih1/Eif2ak2/Oas2/Usp18/Oasl2/Ifit3/Oasl1/Ifit3b/Zbp1/Dhx58/Oas1a",13
"GO:0035458","cellular response to interferon-beta","12/57","70/25730",0.171428571428571,77.3834586466165,30.1530039265103,3.9076636261696e-20,4.285404443366e-18,2.94788659518058e-18,"Ifi213/Ifi214/Ifi211/Gm5431/Ifit3/Ifit1/Ifi206/Ifi209/Stat1/Oas1a/Ifi208/Ifi205",12
"GO:0002218","activation of innate immune response","18/57","369/25730",0.0487804878048781,22.0196833547283,19.1631428226597,8.11882532091344e-20,7.63169580165864e-18,5.24976674886133e-18,"Ifi213/Ifi214/Trim30c/Oas3/Ifi211/Ifih1/Eif2ak2/Trim30d/Irf7/Ifi206/Ifi209/Oasl1/Zbp1/Dhx58/Trim30a/Oas1a/Ifi208/Ifi205",18
"GO:0140888","interferon-mediated signaling pathway","13/57","121/25730",0.107438016528926,48.4978976366536,24.6763733941266,5.83251234916168e-19,4.79724140718548e-17,3.29997409228885e-17,"Oas3/Ifih1/Oas2/Usp18/Irf7/Oasl2/Oasl1/Parp14/Stat2/Zbp1/Stat1/Isg15/Oas1a",13
"GO:1903900","regulation of viral life cycle","13/57","124/25730",0.104838709677419,47.3245614035088,24.3647443622268,8.11562960937953e-19,5.9334269810797e-17,4.0815447158283e-17,"Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Oasl2/Oasl1/Trim30b/Isg20/Trim30a/Isg15/Oas1a",13
"GO:0045089","positive regulation of innate immune response","18/57","443/25730",0.0406320541760722,18.3414518236902,17.3479928099696,2.10115133035022e-18,1.38255757537045e-16,9.51047444263785e-17,"Ifi213/Ifi214/Trim30c/Oas3/Ifi211/Ifih1/Eif2ak2/Trim30d/Irf7/Ifi206/Ifi209/Oasl1/Zbp1/Dhx58/Trim30a/Oas1a/Ifi208/Ifi205",18
"GO:0060337","type I interferon-mediated signaling pathway","12/57","100/25730",0.12,54.1684210526316,25.1009426272504,3.67521854505776e-18,2.01524483554e-16,1.38626664418845e-16,"Oas3/Ifih1/Oas2/Usp18/Irf7/Oasl2/Oasl1/Stat2/Zbp1/Stat1/Isg15/Oas1a",12
"GO:0071357","cellular response to type I interferon","12/57","100/25730",0.12,54.1684210526316,25.1009426272504,3.67521854505776e-18,2.01524483554e-16,1.38626664418845e-16,"Oas3/Ifih1/Oas2/Usp18/Irf7/Oasl2/Oasl1/Stat2/Zbp1/Stat1/Isg15/Oas1a",12
"GO:0002833","positive regulation of response to biotic stimulus","18/57","478/25730",0.0376569037656904,16.9984584893195,16.6362243200511,8.0534599133872e-18,4.07628971000675e-16,2.80403867429676e-16,"Ifi213/Ifi214/Trim30c/Oas3/Ifi211/Ifih1/Eif2ak2/Trim30d/Irf7/Ifi206/Ifi209/Oasl1/Zbp1/Dhx58/Trim30a/Oas1a/Ifi208/Ifi205",18
"GO:0034340","response to type I interferon","12/57","108/25730",0.111111111111111,50.1559454191033,24.1208155996651,9.63121034180965e-18,4.52666886065053e-16,3.11384996013395e-16,"Oas3/Ifih1/Oas2/Usp18/Irf7/Oasl2/Oasl1/Stat2/Zbp1/Stat1/Isg15/Oas1a",12
"GO:0048525","negative regulation of viral process","11/57","82/25730",0.134146341463415,60.5541292255028,25.4508694684837,2.81082166115197e-17,1.233013768692e-15,8.48177764417788e-16,"Oas3/Ifih1/Eif2ak2/Oas2/Oasl2/Ifit1/Oasl1/Isg20/Stat1/Isg15/Oas1a",11
"GO:0016032","viral process","15/57","303/25730",0.0495049504950495,22.346708355046,17.6122661736506,1.16122093589294e-16,4.77552109885973e-15,3.28503291074977e-15,"Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Oasl2/Ifit1/Oasl1/Trim30b/Isg20/Stat1/Trim30a/Isg15/Oas1a",15
"GO:0045071","negative regulation of viral genome replication","9/57","53/25730",0.169811320754717,76.6534260178749,25.9779553072318,2.72214990465471e-15,1.05363213956635e-13,7.2478294675017e-14,"Oas3/Ifih1/Eif2ak2/Oas2/Oasl2/Oasl1/Isg20/Isg15/Oas1a",9
"GO:0019058","viral life cycle","13/57","249/25730",0.0522088353413655,23.5672514619883,16.8608971296697,8.00155398718534e-15,2.92501251309331e-13,2.01208667514017e-13,"Trim30c/Oas3/Ifih1/Eif2ak2/Trim30d/Oas2/Oasl2/Oasl1/Trim30b/Isg20/Trim30a/Isg15/Oas1a",13
"GO:0045069","regulation of viral genome replication","9/57","85/25730",0.105882352941176,47.7956656346749,20.3621818285845,2.39650420302986e-13,8.29947245049287e-12,5.70912358616531e-12,"Oas3/Ifih1/Eif2ak2/Oas2/Oasl2/Oasl1/Isg20/Isg15/Oas1a",9
"GO:0070106","interleukin-27-mediated signaling pathway","6/57","15/25730",0.4,180.561403508772,32.7775076514698,4.44088272888293e-13,1.46105041780248e-11,1.00504188074719e-11,"Oas3/Oas2/Oasl2/Oasl1/Stat1/Oas1a",6
