"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.72486536128218,0.429,0.095,0,"0","Nqo1"
0,3.68538840101878,0.92,0.098,0,"0","Faim2"
0,3.60922895917702,0.777,0.081,0,"0","Gm11992"
0,3.52683857049856,0.809,0.086,0,"0","Cnga4"
0,3.5223053499701,0.618,0.068,0,"0","Mslnl"
0,8.02859724563343,0.764,0.014,0,"1","Krt15"
0,7.57179829232775,0.254,0.002,0,"1","Acaa1b"
0,7.38561865295653,0.306,0.002,0,"1","Acsm1"
0,7.24953515860045,0.812,0.023,0,"1","Reg3g"
0,7.12520505952515,0.382,0.003,0,"1","Serpinb5"
0,8.64706348049923,0.495,0.004,0,"2","Fcrls"
0,7.15090629767928,0.491,0.007,0,"2","Pf4"
0,7.05623566365591,0.913,0.016,0,"2","Ms4a7"
0,6.88115742103193,0.698,0.016,0,"2","Trem2"
0,6.87030692742765,0.553,0.012,0,"2","Mrc1"
0,7.53050198862069,0.307,0.003,0,"3","Ifi205"
0,5.57886094994439,0.302,0.011,0,"3","Apoc2"
0,5.47323831984244,0.645,0.034,0,"3","Ms4a4c"
0,5.28600608742264,0.409,0.013,0,"3","Gpr141"
0,5.11128165471009,0.256,0.007,0,"3","Slamf8"
0,8.89986848860894,0.659,0.005,0,"4","Iglc2"
0,8.59663751466169,0.331,0.002,0,"4","Fcer2a"
0,8.56918798131958,0.349,0.004,0,"4","Iglc1"
0,8.52829456385328,0.53,0.004,0,"4","Fcmr"
0,8.40461627592004,0.564,0.006,0,"4","Ighd"
0,3.80506744384361,0.412,0.079,0,"5","Cd36"
0,3.19211720532314,0.651,0.201,0,"5","Tshz1"
0,3.01514104467313,0.259,0.033,0,"5","Pcdh11x"
0,2.81611377187384,0.494,0.078,0,"5","Scgn"
0,2.68651794848655,0.45,0.078,0,"5","Tppp3"
0,7.77083695381821,0.48,0.003,0,"6","Nhlh1"
0,7.52064184837257,0.713,0.012,0,"6","Gng8"
0,7.22278477191083,0.344,0.003,0,"6","Thsd7b"
0,6.9404834949085,0.766,0.033,0,"6","Gap43"
0,6.77782835245387,0.272,0.003,0,"6","Cnpy1"
0,11.2939357545916,0.629,0.009,0,"7","Retnlg"
0,9.18840246306705,0.714,0.004,0,"7","Cxcr2"
0,8.77449208935826,0.441,0.008,0,"7","Mmp8"
0,8.17233508744951,0.738,0.008,0,"7","Mmp9"
0,8.05669162532145,0.327,0.003,0,"7","Ly6g"
0,11.2762772103451,0.386,0.001,0,"8","Gpihbp1"
0,10.1925391039278,0.279,0.001,0,"8","Rbp7"
0,10.1519626646655,0.888,0.003,0,"8","Ptprb"
0,10.0848685000525,0.506,0.001,0,"8","Sox18"
0,9.98278249407041,0.768,0.003,0,"8","Emcn"
0,10.661343172313,0.346,0.004,0,"9","Gzma"
0,10.3970832100047,0.529,0.001,0,"9","Cd3e"
0,10.2929190857508,0.31,0.001,0,"9","Prf1"
0,10.2662830047155,0.287,0,0,"9","Sh2d1a"
0,10.2003421698941,0.611,0.002,0,"9","Cd3g"
0,10.8909733303289,0.497,0.001,0,"10","Omd"
0,10.7849078688439,0.658,0.002,0,"10","Lum"
0,10.7275593614776,0.887,0.021,0,"10","Col1a1"
0,10.5865845697135,0.364,0.001,0,"10","Wif1"
0,10.4396281714147,0.434,0.002,0,"10","Ecrg4"
0,9.1138423664683,0.327,0.001,0,"11","Car10"
0,8.23981267640979,0.645,0.005,0,"11","Abca4"
0,7.77039590163105,0.795,0.012,0,"11","Nrcam"
0,6.4771249333118,0.626,0.011,0,"11","Vit"
0,6.40885349582285,0.515,0.009,0,"11","Slc47a1"
0,10.3879519574371,0.464,0.002,0,"12","5430419D17Rik"
0,10.3836450397595,0.825,0.009,0,"12","Chil6"
0,10.366457507553,0.37,0.008,0,"12","Gpx6"
0,10.2462985488528,0.363,0.008,0,"12","Bpifb4"
0,10.0826992307534,0.32,0.002,0,"12","Slc22a20"
0,9.28045315800846,0.529,0.001,0,"13","Kl"
0,9.13468122291684,0.787,0.003,0,"13","Clcnka"
0,9.06134759835165,0.476,0.001,0,"13","Foxi2"
0,9.04047933319292,0.935,0.006,0,"13","Galnt13"
0,9.02064769549065,0.952,0.006,0,"13","Smbd1"
0,13.7030861488966,0.721,0.001,0,"14","Odam"
0,13.4834171713576,0.819,0.002,0,"14","Bpifb9a"
0,13.1761762544026,0.773,0.001,0,"14","Bpifb5"
0,13.1159156244468,0.826,0.003,0,"14","Bpifb9b"
0,12.7036332804718,0.834,0.001,0,"14","2310003L06Rik"
0,11.3412685182525,0.285,0,0,"15","Map3k7cl"
0,11.0929497582621,0.453,0.001,0,"15","Higd1b"
